Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDE)
2017 191  4590   4208830.038   2334850.508   4171267.432      7.420   2.282   0.143   2.425  12.490
2017 191  4620   4208830.018   2334850.500   4171267.426      7.420   2.282   0.144   2.427  12.489
2017 191  4650   4208830.013   2334850.499   4171267.424      7.546   2.282   0.146   2.428  12.493
2017 191  4680   4208830.006   2334850.492   4171267.419      7.723   2.282   0.147   2.430  12.498
2017 191  4710   4208829.999   2334850.488   4171267.415      7.490   2.282   0.148   2.431  12.505
2017 191  4740   4208829.984   2334850.474   4171267.406      7.480   2.282   0.150   2.433  12.510
2017 191  4770   4208829.969   2334850.457   4171267.396      7.466   2.282   0.153   2.435  12.514
2017 191  4800   4208829.957   2334850.448   4171267.389      7.481   2.282   0.155   2.438  12.515
2017 191  4830   4208829.949   2334850.445   4171267.384      6.679   2.282   0.157   2.439  12.518
2017 191  4860   4208829.939   2334850.436   4171267.376      6.298   2.282   0.160   2.442  12.520
2017 191  4890   4208829.929   2334850.431   4171267.371      6.512   2.282   0.162   2.444  12.523
2017 191  4920   4208829.918   2334850.424   4171267.364      6.721   2.282   0.163   2.446  12.526
2017 191  4950   4208829.907   2334850.411   4171267.355      6.566   2.282   0.165   2.447  12.531
2017 191  4980   4208829.900   2334850.400   4171267.348      6.415   2.282   0.166   2.448  12.535
2017 191  5010   4208829.890   2334850.381   4171267.337      6.424   2.282   0.168   2.450  12.538
2017 191  5040   4208829.881   2334850.354   4171267.326      6.287   2.282   0.170   2.452  12.541
2017 191  5070   4208829.871   2334850.344   4171267.320      6.273   2.282   0.171   2.454  12.542
2017 191  5100   4208829.866   2334850.338   4171267.317      6.070   2.282   0.171   2.454  12.544
2017 191  5130   4208829.860   2334850.330   4171267.313      6.147   2.282   0.172   2.454  12.546
2017 191  5160   4208829.857   2334850.328   4171267.312      6.426   2.282   0.172   2.454  12.551
2017 191  5190   4208829.848   2334850.314   4171267.303      6.480   2.282   0.173   2.456  12.556
2017 191  5220   4208829.847   2334850.298   4171267.297      6.235   2.282   0.175   2.458  12.563
2017 191  5250   4208829.855   2334850.295   4171267.296      6.204   2.282   0.175   2.458  12.569
2017 191  5280   4208829.861   2334850.289   4171267.294      6.362   2.282   0.176   2.459  12.575
2017 191  5310   4208829.862   2334850.279   4171267.289      6.077   2.282   0.178   2.460  12.578
2017 191  5340   4208829.868   2334850.280   4171267.290      6.176   2.282   0.179   2.461  12.580
2017 191  5370   4208829.872   2334850.270   4171267.288      6.308   2.282   0.180   2.462  12.580
2017 191  5400   4208829.877   2334850.262   4171267.286      6.303   2.282   0.180   2.463  12.580
2017 191  5430   4208829.876   2334850.255   4171267.285      6.048   2.282   0.181   2.463  12.579
2017 191  5460   4208829.882   2334850.249   4171267.286      6.279   2.282   0.180   2.463  12.581
2017 191  5490   4208829.886   2334850.245   4171267.286      6.250   2.282   0.180   2.463  12.582
2017 191  5520   4208829.887   2334850.245   4171267.287      6.442   2.282   0.181   2.463  12.583
2017 191  5550   4208829.889   2334850.250   4171267.290      6.410   2.282   0.179   2.462  12.585
2017 191  5580   4208829.896   2334850.267   4171267.297      6.160   2.282   0.177   2.460  12.588
2017 191  5610   4208829.897   2334850.283   4171267.301      6.121   2.282   0.175   2.458  12.588
2017 191  5640   4208829.902   2334850.298   4171267.305      6.341   2.282   0.173   2.456  12.588
2017 191  5670   4208829.906   2334850.312   4171267.309      6.161   2.282   0.171   2.454  12.588
2017 191  5700   4208829.913   2334850.323   4171267.314      6.133   2.282   0.170   2.452  12.591
2017 191  5730   4208829.922   2334850.340   4171267.320      6.409   2.282   0.168   2.450  12.595
2017 191  5760   4208829.926   2334850.342   4171267.320      6.598   2.282   0.167   2.450  12.599
2017 191  5790   4208829.928   2334850.350   4171267.322      6.740   2.282   0.166   2.449  12.603
2017 191  5820   4208829.925   2334850.360   4171267.321      6.674   2.282   0.166   2.448  12.605
2017 191  5850   4208829.918   2334850.365   4171267.318      6.405   2.282   0.166   2.448  12.606
2017 191  5880   4208829.920   2334850.377   4171267.320      6.338   2.282   0.165   2.447  12.608
2017 191  5910   4208829.938   2334850.381   4171267.325      6.685   2.282   0.165   2.447  12.616
2017 191  5940   4208829.952   2334850.387   4171267.331      6.505   2.282   0.164   2.446  12.622
